filename,fold,target,inst,pitch
p_normednote_0.583_inst_0.160_iclass_0_.wav.wav,0,0,0.160,0.583
p_normednote_0.000_inst_0.307_iclass_0_.wav.wav,0,0,0.307,0.000
p_normednote_0.000_inst_0.131_iclass_0_.wav.wav,0,0,0.131,0.000
p_normednote_0.583_inst_0.271_iclass_0_.wav.wav,0,0,0.271,0.583
p_normednote_0.000_inst_0.195_iclass_0_.wav.wav,0,0,0.195,0.000
p_normednote_0.000_inst_0.058_iclass_0_.wav.wav,0,0,0.058,0.000
p_normednote_0.000_inst_0.086_iclass_0_.wav.wav,0,0,0.086,0.000
p_normednote_0.000_inst_0.060_iclass_0_.wav.wav,0,0,0.060,0.000
p_normednote_0.583_inst_0.273_iclass_0_.wav.wav,0,0,0.273,0.583
p_normednote_0.583_inst_0.321_iclass_0_.wav.wav,0,0,0.321,0.583
p_normednote_0.000_inst_0.063_iclass_0_.wav.wav,0,0,0.063,0.000
p_normednote_0.583_inst_0.238_iclass_0_.wav.wav,0,0,0.238,0.583
p_normednote_0.000_inst_0.190_iclass_0_.wav.wav,0,0,0.190,0.000
p_normednote_0.000_inst_0.170_iclass_0_.wav.wav,0,0,0.170,0.000
p_normednote_0.583_inst_0.198_iclass_0_.wav.wav,0,0,0.198,0.583
p_normednote_0.583_inst_0.326_iclass_0_.wav.wav,0,0,0.326,0.583
p_normednote_0.583_inst_0.287_iclass_0_.wav.wav,0,0,0.287,0.583
p_normednote_0.583_inst_0.241_iclass_0_.wav.wav,0,0,0.241,0.583
p_normednote_0.000_inst_0.093_iclass_0_.wav.wav,0,0,0.093,0.000
p_normednote_0.000_inst_0.251_iclass_0_.wav.wav,0,0,0.251,0.000
p_normednote_0.000_inst_0.209_iclass_0_.wav.wav,0,0,0.209,0.000
p_normednote_0.583_inst_0.032_iclass_0_.wav.wav,0,0,0.032,0.583
p_normednote_0.583_inst_0.288_iclass_0_.wav.wav,0,0,0.288,0.583
p_normednote_0.000_inst_0.284_iclass_0_.wav.wav,0,0,0.284,0.000
p_normednote_0.583_inst_0.081_iclass_0_.wav.wav,0,0,0.081,0.583
p_normednote_0.583_inst_0.230_iclass_0_.wav.wav,0,0,0.230,0.583
p_normednote_0.000_inst_0.118_iclass_0_.wav.wav,0,0,0.118,0.000
p_normednote_0.000_inst_0.117_iclass_0_.wav.wav,0,0,0.117,0.000
p_normednote_0.583_inst_0.053_iclass_0_.wav.wav,0,0,0.053,0.583
p_normednote_0.583_inst_0.324_iclass_0_.wav.wav,0,0,0.324,0.583
p_normednote_0.583_inst_0.268_iclass_0_.wav.wav,0,0,0.268,0.583
p_normednote_0.583_inst_0.096_iclass_0_.wav.wav,0,0,0.096,0.583
p_normednote_0.583_inst_0.253_iclass_0_.wav.wav,0,0,0.253,0.583
p_normednote_0.583_inst_0.208_iclass_0_.wav.wav,0,0,0.208,0.583
p_normednote_0.000_inst_0.265_iclass_0_.wav.wav,0,0,0.265,0.000
p_normednote_0.583_inst_0.048_iclass_0_.wav.wav,0,0,0.048,0.583
p_normednote_0.583_inst_0.142_iclass_0_.wav.wav,0,0,0.142,0.583
p_normednote_0.583_inst_0.218_iclass_0_.wav.wav,0,0,0.218,0.583
p_normednote_0.583_inst_0.309_iclass_0_.wav.wav,0,0,0.309,0.583
p_normednote_0.583_inst_0.178_iclass_0_.wav.wav,0,0,0.178,0.583
p_normednote_0.583_inst_0.088_iclass_0_.wav.wav,0,0,0.088,0.583
p_normednote_0.583_inst_0.159_iclass_0_.wav.wav,0,0,0.159,0.583
p_normednote_0.583_inst_0.286_iclass_0_.wav.wav,0,0,0.286,0.583
p_normednote_0.583_inst_0.281_iclass_0_.wav.wav,0,0,0.281,0.583
p_normednote_0.583_inst_0.172_iclass_0_.wav.wav,0,0,0.172,0.583
